brand,model_name,model_norm,product_type,car_year,vehicle_age,car_price,brand_origin,segment,brand_tier,rv_grade,risk_grade,profit_grade,brand_delinquency_rate,model_delinquency_rate,model_profit_rate,reference_new_price,brand_reference_new_price,brand_new_obs,implied_residual_ratio
BENTLEY,BENTLEY CONTINENTAL,BENTLEY CONTINENTAL,Used Car,2013,11.0,121000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,Continental GT,CONTINENTAL GT,Used Car,2013,11.0,115000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,Continental GT,CONTINENTAL GT,Used Car,2015,9.0,128000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,flying Spur,FLYING SPUR,Used Car,2015,9.0,126000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,flying Spur,FLYING SPUR,Used Car,2015,9.0,120000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,flying Spur,FLYING SPUR,Used Car,2016,8.0,133000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,flying Spur,FLYING SPUR,Used Car,2016,8.0,125000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,Bentayga V8,BENTAYGA V8,Used Car,2017,7.0,174000.0,Other,SUV D-seg,Unknown,Unknown,A,Best,0.3756457850297079,0.0,0.11697845785374388,,,,
BENTLEY,Bentayga V8,BENTAYGA V8,Used Car,2020,4.0,300000.0,Other,SUV D-seg,Unknown,Unknown,A,Best,0.3756457850297079,0.0,0.11697845785374388,,,,
BMW,Z4,Z4,Used Car,2005,19.0,15000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.1188118811881188
BMW,X5,X5,Used Car,2007,17.0,21500.0,Europe,SUV D-seg,Unknown,Unknown,A,Best,0.26723390805580904,1.2565007530502046e-05,0.18075939713517403,126250.0,126250.0,6.0,0.1702970297029703
BMW,730D,730D,Used Car,2007,17.0,12300.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.09742574257425743
BMW,740Li,740LI,Used Car,2009,15.0,25500.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.201980198019802
BMW,X6,X6,Used Car,2009,15.0,25500.0,Europe,SUV C-seg,Unknown,Unknown,A,Best,0.26723390805580904,0.00045956635029514165,0.11094838083685613,126250.0,126250.0,6.0,0.201980198019802
BMW,740Li,740LI,Used Car,2011,13.0,34000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.2693069306930693
BMW,740Li,740LI,Used Car,2011,13.0,29000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.2297029702970297
BMW,740Li,740LI,Used Car,2011,13.0,35000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.27722772277227725
BMW,535i,535I,Used Car,2011,13.0,48000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.3801980198019802
BMW,740Li,740LI,Used Car,2011,13.0,33000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.2613861386138614
BMW,730Li,730LI,Used Car,2012,12.0,40000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.31683168316831684
BMW,528i,528I,Used Car,2012,12.0,40000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.31683168316831684
BMW,520i,520I,Used Car,2012,12.0,31000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.24554455445544554
BMW,520i,520I,Used Car,2012,12.0,30500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.24158415841584158
BMW,520i,520I,Used Car,2012,12.0,30000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.2376237623762376
BMW,520i,520I,Used Car,2012,12.0,30000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.2376237623762376
BMW,520i,520I,Used Car,2012,12.0,31000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.24554455445544554
BMW,520i,520I,Used Car,2012,12.0,32000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.25346534653465347
BMW,520i,520I,Used Car,2012,12.0,22400.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.17742574257425742
BMW,Mini Cooper,MINI COOPER,Used Car,2012,12.0,27000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.21386138613861386
BMW,730Li,730LI,Used Car,2012,12.0,38500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.30495049504950494
BMW,520i,520I,Used Car,2012,12.0,27500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.21782178217821782
BMW,X6,X6,Used Car,2012,12.0,40000.0,Europe,SUV C-seg,Unknown,Unknown,A,Best,0.26723390805580904,0.00045956635029514165,0.11094838083685613,126250.0,126250.0,6.0,0.31683168316831684
BMW,640i,640I,Used Car,2013,11.0,38800.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.3073267326732673
BMW,528i,528I,Used Car,2013,11.0,41000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.32475247524752476
BMW,528i,528I,Used Car,2013,11.0,42000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.3326732673267327
BMW,640i,640I,Used Car,2013,11.0,62000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.4910891089108911
BMW,528,528,Used Car,2013,11.0,40000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.31683168316831684
BMW,740Li,740LI,Used Car,2014,10.0,75000.0,Europe,Sedan,Unknown,Unknown,A,Best,0.26723390805580904,0.0029347157312143456,0.10023623996228184,126250.0,126250.0,6.0,0.594059405940594
BMW,435i,435I,Used Car,2014,10.0,50000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,126250.0,126250.0,6.0,0.39603960396039606
